ticker,issuer_cik,accession_number,filing_date,seller_name,seller_relationship,securities_to_be_sold,aggregate_market_value,approximate_date_of_sale,broker_name,exchange,notice_date,sale_status,parse_status,error_message
UNKNOWN,0001045810,0001921094-24-000866,2024-06-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-28,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000863,2024-06-27,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-27,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000858,2024-06-26,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-26,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000855,2024-06-25,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-25,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000846,2024-06-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-24,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000836,2024-06-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-21,proposed,partial,
UNKNOWN,0001045810,0001950047-24-004958,2024-06-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-21,proposed,partial,
UNKNOWN,0001045810,0001958244-24-002813,2024-06-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-21,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000830,2024-06-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-20,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000819,2024-06-18,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-18,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000807,2024-06-17,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-17,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000797,2024-06-14,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-14,proposed,partial,
UNKNOWN,0001045810,0001969223-24-000479,2024-06-14,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-14,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000789,2024-06-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-13,proposed,partial,
UNKNOWN,0001045810,0001973251-24-000021,2024-06-07,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-07,proposed,partial,
UNKNOWN,0001045810,0001950047-24-004359,2024-06-03,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-06-03,proposed,partial,
UNKNOWN,0001045810,0001961863-24-000186,2024-05-29,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-29,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000695,2024-05-29,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-29,proposed,partial,
UNKNOWN,0001045810,0001971857-24-000316,2024-05-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-28,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000693,2024-05-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-28,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000688,2024-05-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-28,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000675,2024-05-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-24,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000674,2024-05-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-05-24,proposed,partial,
UNKNOWN,0001045810,0001968582-24-000283,2024-04-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-04-02,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000466,2024-03-25,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-03-25,proposed,partial,
UNKNOWN,0001045810,0001950047-24-002658,2024-03-22,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-03-22,proposed,partial,
UNKNOWN,0001045810,0001973251-24-000007,2024-03-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-03-05,proposed,partial,
UNKNOWN,0001045810,0001969223-24-000204,2024-03-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-03-05,proposed,partial,
UNKNOWN,0001045810,0001968582-24-000130,2024-02-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-02-23,proposed,partial,
UNKNOWN,0001045810,0002007317-24-000190,2024-02-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-02-23,proposed,partial,
UNKNOWN,0001045810,0002007317-24-000189,2024-02-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-02-23,proposed,partial,
UNKNOWN,0001045810,0002007317-24-000185,2024-02-23,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-02-23,proposed,partial,
UNKNOWN,0001045810,0001950047-24-000178,2024-01-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-01-05,proposed,partial,
UNKNOWN,0001045810,0001950047-23-006222,2023-12-18,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-12-18,proposed,partial,
UNKNOWN,0001045810,0001921094-23-001080,2023-12-15,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-12-15,proposed,partial,
UNKNOWN,0001045810,0001969223-23-000529,2023-12-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-12-13,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000932,2023-11-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-11-28,proposed,partial,
UNKNOWN,0001045810,0001950047-23-005393,2023-11-27,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-11-27,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000910,2023-11-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-11-24,proposed,partial,
UNKNOWN,0001045810,0001961863-23-000151,2023-11-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-11-24,proposed,partial,
UNKNOWN,0001045810,0001950047-23-003627,2023-09-01,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-09-01,proposed,partial,
UNKNOWN,0001045810,0001950047-23-003455,2023-08-28,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-08-28,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000337,2023-06-26,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-26,proposed,partial,
UNKNOWN,0001045810,0001971857-23-000292,2023-06-16,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-16,proposed,partial,
UNKNOWN,0001045810,0001973251-23-000007,2023-06-14,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-14,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000289,2023-06-14,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-14,proposed,partial,
UNKNOWN,0001045810,0001971857-23-000263,2023-06-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-13,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000258,2023-06-07,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-07,proposed,partial,
UNKNOWN,0001045810,0001971857-23-000200,2023-06-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-05,proposed,partial,
UNKNOWN,0001045810,0001963746-23-000008,2023-06-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-06-02,proposed,partial,
UNKNOWN,0001045810,0001921094-23-000224,2023-05-31,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-05-31,proposed,partial,
UNKNOWN,0001045810,0001973251-23-000003,2023-05-26,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-05-26,proposed,partial,
UNKNOWN,0001045810,0001969223-23-000133,2023-05-26,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-05-26,proposed,partial,
UNKNOWN,0001045810,0001950047-23-000756,2023-05-18,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2023-05-18,proposed,partial,
